id,identifier,clientIP,date,time,drumyVersion,userAgent,platform,language,innerWidth,innerHeight,outerHeight
114,83678273,86.247.91.124,2016-02-06,12:20:13,23,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (5878496992)",iPhone,fr,,,
115,57556332,86.247.91.124,2016-02-06,12:20:20,23,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (5878496992)",iPhone,fr,,,
116,57556332,86.247.91.124,2016-02-06,12:23:57,23,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (5600626960)",iPhone,fr,,,
117,57794390,86.247.91.124,2016-02-06,12:24:19,24,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (384266624)",iPhone,fr,,,
118,57794390,86.247.91.124,2016-02-06,12:24:31,24,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (342472768)",iPhone,fr,,,
119,57794390,86.247.91.124,2016-02-06,12:32:06,25,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (342093680)",iPhone,fr,,,
120,58266188,86.247.91.124,2016-02-06,12:32:10,25,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (342093680)",iPhone,fr,,,
121,57556332,86.247.91.124,2016-02-06,13:28:15,23,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (5358398896)",iPhone,fr,,,
122,57556332,86.247.91.124,2016-02-06,13:28:23,23,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (5635221216)",iPhone,fr,,,
123,58266188,86.247.91.124,2016-02-06,13:28:40,26,"(iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13D15 (358998640)",iPhone,fr,,,
